,일자,구,일반승차인원,일반하차인원,일반환승인원,청소년승차인원,청소년하차인원,청소년환승인원,어린이승차인원,어린이하차인원,어린이환승인원,미분류승차인원,미분류하차인원,미분류환승인원
82,2023년 03월 17일,중구,121569,111773,26534,130413,118045,27889,122325,112349,26579,121684,111842,26535
83,2023년 03월 17일,대덕구,79023,70167,15794,84006,73705,16368,79456,70535,15822,79093,70214,15794
84,2023년 03월 17일,유성구,144610,130301,30323,153618,137674,31826,145333,130934,30381,144649,130323,30323
85,2023년 03월 18일,동구,121839,106958,26397,127374,111297,27323,122869,107875,26484,121999,107088,26397
86,2023년 03월 18일,서구,152694,132297,34199,161641,139369,35583,154093,133488,34410,152806,132358,34199
87,2023년 03월 18일,중구,90431,83386,16973,95878,87502,17639,91484,84257,17043,90511,83430,16973
88,2023년 03월 18일,대덕구,52923,46244,9266,55690,48210,9610,53388,46606,9305,52973,46284,9266
89,2023년 03월 18일,유성구,90317,81960,17666,95733,86509,18543,91405,82911,17791,90356,81986,17666
90,2023년 03월 19일,동구,98525,81784,18932,103456,85456,19735,99151,82326,18990,98623,81871,18932
91,2023년 03월 19일,서구,110581,96292,25404,118168,102213,26551,111510,97065,25498,110659,96344,25404
92,2023년 03월 19일,중구,69074,61514,12656,73839,65070,13246,69792,62121,12708,69132,61547,12656
93,2023년 03월 19일,대덕구,35233,31737,5838,37415,33341,6123,35550,31985,5860,35263,31755,5838
94,2023년 03월 19일,유성구,71045,67428,14748,75610,71371,15494,71767,68061,14841,71094,67468,14748
95,2023년 03월 20일,동구,151378,132829,38325,160459,139787,40043,152006,133448,38389,151565,132963,38325
96,2023년 03월 20일,서구,216301,188380,52138,227030,196873,53940,217094,189053,52207,216448,188481,52138
97,2023년 03월 20일,중구,117005,105800,26392,124966,111218,27667,117740,106365,26430,117111,105867,26392
98,2023년 03월 20일,대덕구,77142,69680,15768,82190,73363,16401,77526,69991,15787,77212,69731,15768
99,2023년 03월 20일,유성구,136844,123742,30398,145213,130550,31880,137434,124264,30446,136900,123778,30398
100,2023년 03월 21일,동구,153888,135298,40659,163177,142307,42433,154523,135903,40714,154072,135442,40659
101,2023년 03월 21일,서구,224279,194869,53569,235225,203531,55421,225039,195499,53620,224444,194987,53569
102,2023년 03월 21일,중구,120946,108992,27126,129325,114776,28480,121678,109549,27180,121077,109075,27126
103,2023년 03월 21일,대덕구,79080,71148,16201,84144,74728,16799,79473,71466,16220,79153,71195,16201
104,2023년 03월 21일,유성구,144220,129863,31373,152624,136636,32818,144803,130387,31417,144283,129906,31373
105,2023년 03월 22일,동구,153312,134088,40147,162526,141110,41933,153971,134704,40201,153499,134244,40147
106,2023년 03월 22일,서구,227842,197478,54851,238874,206034,56730,228609,198116,54912,228000,197582,54851
107,2023년 03월 22일,중구,120706,109407,27392,129171,115296,28754,121442,109963,27433,120794,109462,27392
108,2023년 03월 22일,대덕구,80018,72110,16722,84932,75622,17306,80467,72485,16749,80095,72164,16722
109,2023년 03월 22일,유성구,146386,132003,32012,154736,138735,33456,147084,132615,32071,146449,132046,32012
110,2023년 03월 23일,동구,146213,128213,37752,155360,135256,39508,146853,128812,37812,146376,128345,37752
111,2023년 03월 23일,서구,218478,187765,51440,230122,196711,53354,219249,188394,51501,218639,187861,51440
112,2023년 03월 23일,중구,115125,103229,25260,124184,109241,26616,115775,103731,25299,115222,103283,25260
113,2023년 03월 23일,대덕구,78874,70297,16150,83625,73638,16726,79274,70636,16178,78943,70346,16150
114,2023년 03월 23일,유성구,142927,127275,30492,151525,134212,31969,143530,127807,30546,142973,127301,30492
115,2023년 03월 24일,동구,162161,144169,39936,172148,151897,41784,162884,144843,40009,162373,144341,39936
116,2023년 03월 24일,서구,234589,203231,55707,246649,212638,57764,235565,204039,55792,234756,203339,55707
117,2023년 03월 24일,중구,126690,116277,27340,136055,122815,28711,127432,116859,27390,126809,116351,27340
118,2023년 03월 24일,대덕구,81219,71577,16154,86193,75166,16742,81673,71971,16184,81289,71627,16154
119,2023년 03월 24일,유성구,151430,136067,31812,160404,143251,33295,152164,136699,31864,151490,136102,31812
120,2023년 03월 25일,동구,124256,110803,27252,130350,115742,28291,125335,111769,27360,124408,110923,27252
121,2023년 03월 25일,서구,162532,140144,36375,172481,147785,37883,164012,141379,36562,162652,140213,36375
122,2023년 03월 25일,중구,92348,84317,17792,98034,88599,18540,93353,85112,17861,92421,84364,17792
123,2023년 03월 25일,대덕구,52215,45170,9430,55250,47364,9853,52713,45567,9492,52252,45204,9430
124,2023년 03월 25일,유성구,97131,88751,19156,103070,93706,20093,98225,89731,19248,97174,88787,19156
125,2023년 03월 26일,동구,105339,87119,20129,111159,91537,21086,106093,87740,20207,105457,87217,20129
126,2023년 03월 26일,서구,120409,104238,28017,129324,111285,29485,121509,105091,28129,120491,104294,28017
127,2023년 03월 26일,중구,72268,64503,13559,77539,68273,14234,73062,65181,13600,72316,64536,13559
128,2023년 03월 26일,대덕구,37136,33421,6488,39562,35194,6862,37511,33704,6534,37163,33439,6488
129,2023년 03월 26일,유성구,78454,74408,16290,84231,79336,17234,79217,75112,16371,78501,74438,16290
130,2023년 03월 27일,동구,157421,137464,40312,166730,144511,42041,158122,138096,40375,157605,137615,40312
131,2023년 03월 27일,서구,223995,194142,54586,235079,202780,56479,224789,194790,54642,224153,194242,54586
132,2023년 03월 27일,중구,119543,107751,26928,127964,113494,28275,120281,108322,26964,119638,107819,26928
133,2023년 03월 27일,대덕구,78636,70963,16191,83750,74610,16819,79055,71333,16214,78719,71011,16192
134,2023년 03월 27일,유성구,144571,131568,32019,153034,138510,33528,145198,132139,32063,144632,131605,32020
135,2023년 03월 28일,동구,153977,136013,40327,162998,142924,42026,154599,136605,40388,154157,136159,40327
136,2023년 03월 28일,서구,225784,195750,54437,236726,204233,56247,226597,196443,54492,225944,195868,54439
137,2023년 03월 28일,중구,120189,107904,26790,128682,113740,28188,120958,108465,26840,120313,107977,26790
138,2023년 03월 28일,대덕구,81848,73474,17085,87001,77074,17683,82267,73832,17113,81910,73519,17085
139,2023년 03월 28일,유성구,147504,132950,32385,155892,139700,33838,148070,133450,32420,147578,132999,32385
140,2023년 03월 29일,동구,152819,133998,39664,162052,140995,41367,153500,134621,39720,153004,134148,39664
141,2023년 03월 29일,서구,229355,197824,55110,240648,206640,57026,230227,198527,55181,229484,197915,55110
142,2023년 03월 29일,중구,118776,107762,26610,127488,113725,28011,119471,108331,26650,118870,107823,26610
143,2023년 03월 29일,대덕구,80113,71771,16528,85180,75361,17125,80572,72153,16557,80205,71821,16528
144,2023년 03월 29일,유성구,151943,137375,33552,160397,144183,35045,152632,137993,33606,152011,137421,33552
145,2023년 03월 30일,동구,156168,137952,40407,165118,144792,42146,156854,138606,40458,156316,138075,40407
146,2023년 03월 30일,서구,227273,196381,55134,238175,204808,56997,228103,197068,55184,227416,196471,55134
147,2023년 03월 30일,중구,120448,108890,26782,128692,114544,28112,121142,109434,26820,120556,108961,26782
148,2023년 03월 30일,대덕구,79749,71317,16299,84933,74995,16909,80242,71729,16342,79828,71371,16299
149,2023년 03월 30일,유성구,147949,133215,32116,156419,139968,33594,148514,133726,32156,148022,133268,32116
150,2023년 03월 31일,동구,161672,143036,39737,171230,150434,41452,162419,143721,39807,161862,143209,39737
151,2023년 03월 31일,서구,233322,201964,55595,245423,211207,57569,234276,202795,55678,233459,202049,55595
152,2023년 03월 31일,중구,125682,114736,27584,134673,120993,28903,126461,115352,27646,125832,114825,27584
153,2023년 03월 31일,대덕구,80807,71705,16191,85786,75291,16769,81232,72067,16206,80876,71743,16191
154,2023년 03월 31일,유성구,153172,137243,32072,162727,144926,33652,153967,137927,32140,153224,137276,32072
155,2023년 04월 01일,동구,129611,114059,28861,135804,118953,29892,130857,115180,28998,129654,114107,28861
156,2023년 04월 01일,서구,165138,142007,37664,175827,150348,39472,166796,143345,37882,165138,142007,37664
157,2023년 04월 01일,중구,96590,88322,18914,102825,93037,19735,97860,89333,19038,96592,88323,18914
